"p, q, n, Phi, e, k, d",n,totient,e,# holes,Transparency Percentage,
"[7, 41, 287, 240, 17, 8, 113]",287,240,17,24,8.39,
"[7, 41, 287, 240, 257, 121, 113]",287,240,257,24,8.39,
"[7, 41, 287, 240, 65537, 30857, 113]",287,240,65537,24,8.39,
"[5, 53, 265, 208, 5, 3, 125]",265,208,5,22,8.33,
"[5, 53, 265, 208, 17, 4, 49]",265,208,17,22,8.33,
"[5, 53, 265, 208, 257, 21, 17]",265,208,257,22,8.33,
"[5, 53, 265, 208, 65537, 15439, 49]",265,208,65537,22,8.33,
"[3, 193, 579, 384, 17, 5, 113]",579,384,17,48,8.3,
"[61, 257, 15677, 15360, 257, 30, 1793]",15677,15360,257,1282,8.18,
"[61, 257, 15677, 15360, 65537, 56803, 13313]",15677,15360,65537,1282,8.18,
"[17, 61, 1037, 960, 17, 2, 113]",1037,960,17,82,7.92,
"[17, 61, 1037, 960, 257, 223, 833]",1037,960,257,82,7.92,
"[17, 61, 1037, 960, 65537, 56867, 833]",1037,960,65537,82,7.92,
"[7, 11, 77, 60, 3, 1, 80]",77,60,3,6,7.89,
"[7, 11, 77, 60, 5, 1, 84]",77,60,5,6,7.89,
"[7, 11, 77, 60, 17, 15, 53]",77,60,17,6,7.89,
"[7, 11, 77, 60, 257, 227, 53]",77,60,257,6,7.89,
"[7, 11, 77, 60, 65537, 57891, 53]",77,60,65537,6,7.89,
"[13, 41, 533, 480, 17, 4, 113]",533,480,17,42,7.89,
"[13, 41, 533, 480, 257, 189, 353]",533,480,257,42,7.89,
"[13, 41, 533, 480, 65537, 48197, 353]",533,480,65537,42,7.89,
"[5, 31, 155, 120, 5, 1, 168]",155,120,5,12,7.79,
"[5, 31, 155, 120, 17, 16, 113]",155,120,17,12,7.79,
"[5, 31, 155, 120, 257, 242, 113]",155,120,257,12,7.79,
"[5, 31, 155, 120, 65537, 61714, 113]",155,120,65537,12,7.79,
"[3, 53, 159, 104, 5, 1, 21]",159,104,5,12,7.59,
