"p, q, n, Phi, e, k, d",n,totient,e,# holes,Transparency Percentage,
"[337, 491, 165467, 164640, 3, 1, 219520]",165467,164640,3,6,0,
"[337, 499, 168163, 167328, 3, 1, 223104]",168163,167328,3,6,0,
"[337, 503, 169511, 168672, 3, 1, 224896]",169511,168672,3,6,0,
"[337, 509, 171533, 170688, 3, 1, 227584]",171533,170688,3,6,0,
"[337, 521, 175577, 174720, 3, 1, 232960]",175577,174720,3,6,0,
"[337, 523, 176251, 175392, 3, 1, 233856]",176251,175392,3,6,0,
"[337, 541, 182317, 181440, 3, 1, 241920]",182317,181440,3,6,0,
"[347, 349, 121103, 120408, 3, 1, 160544]",121103,120408,3,6,0,
"[347, 353, 122491, 121792, 3, 2, 81195]",122491,121792,3,6,0,
"[347, 359, 124573, 123868, 3, 2, 82579]",124573,123868,3,6,0,
"[347, 359, 124573, 123868, 5, 3, 74321]",124573,123868,5,6,0,
"[347, 359, 124573, 123868, 17, 14, 102009]",124573,123868,17,6,0,
"[347, 359, 124573, 123868, 257, 43, 20725]",124573,123868,257,6,0,
"[347, 359, 124573, 123868, 65537, 18999, 35909]",124573,123868,65537,6,0,
"[347, 367, 127349, 126636, 3, 1, 168848]",127349,126636,3,6,0,
"[347, 367, 127349, 126636, 5, 4, 101309]",127349,126636,5,6,0,
"[347, 367, 127349, 126636, 17, 11, 81941]",127349,126636,17,6,0,
"[347, 367, 127349, 126636, 257, 87, 42869]",127349,126636,257,6,0,
"[347, 367, 127349, 126636, 65537, 33625, 64973]",127349,126636,65537,6,0,
"[347, 373, 129431, 128712, 3, 1, 171616]",129431,128712,3,6,0,
"[347, 379, 131513, 130788, 3, 1, 174384]",131513,130788,3,6,0,
"[347, 379, 131513, 130788, 5, 3, 78473]",131513,130788,5,6,0,
"[347, 379, 131513, 130788, 17, 12, 92321]",131513,130788,17,6,0,
"[347, 379, 131513, 130788, 257, 72, 36641]",131513,130788,257,6,0,
"[347, 379, 131513, 130788, 65537, 30477, 60821]",131513,130788,65537,6,0,
"[347, 383, 132901, 132172, 3, 2, 88115]",132901,132172,3,6,0,
"[347, 383, 132901, 132172, 5, 2, 52869]",132901,132172,5,6,0,
"[347, 383, 132901, 132172, 17, 6, 46649]",132901,132172,17,6,0,
"[347, 383, 132901, 132172, 257, 191, 98229]",132901,132172,257,6,0,
"[347, 383, 132901, 132172, 65537, 33246, 67049]",132901,132172,65537,6,0,
"[347, 389, 134983, 134248, 3, 2, 89499]",134983,134248,3,6,0,
"[347, 397, 137759, 137016, 3, 1, 182688]",137759,137016,3,6,0,
"[347, 401, 139147, 138400, 3, 2, 92267]",139147,138400,3,6,0,
"[347, 409, 141923, 141168, 3, 1, 188224]",141923,141168,3,6,0,
"[347, 419, 145393, 144628, 3, 2, 96419]",145393,144628,3,6,0,
"[347, 419, 145393, 144628, 5, 3, 86777]",145393,144628,5,6,0,
"[347, 419, 145393, 144628, 17, 15, 127613]",145393,144628,17,6,0,
"[347, 419, 145393, 144628, 257, 102, 57401]",145393,144628,257,6,0,
"[347, 419, 145393, 144628, 65537, 14704, 32449]",145393,144628,65537,6,0,
"[347, 421, 146087, 145320, 3, 1, 193760]",146087,145320,3,6,0,
"[347, 431, 149557, 148780, 3, 2, 99187]",149557,148780,3,6,0,
"[347, 431, 149557, 148780, 5, 1, 178536]",149557,148780,5,6,0,
"[347, 431, 149557, 148780, 17, 13, 113773]",149557,148780,17,6,0,
"[347, 431, 149557, 148780, 257, 190, 109993]",149557,148780,257,6,0,
"[347, 431, 149557, 148780, 65537, 24048, 54593]",149557,148780,65537,6,0,
"[347, 433, 150251, 149472, 3, 1, 199296]",150251,149472,3,6,0,
"[347, 439, 152333, 151548, 3, 1, 202064]",152333,151548,3,6,0,
"[347, 439, 152333, 151548, 5, 3, 90929]",152333,151548,5,6,0,
"[347, 439, 152333, 151548, 17, 5, 44573]",152333,151548,17,6,0,
"[347, 439, 152333, 151548, 257, 210, 123833]",152333,151548,257,6,0,
"[347, 439, 152333, 151548, 65537, 22711, 52517]",152333,151548,65537,6,0,
"[347, 443, 153721, 152932, 3, 2, 101955]",153721,152932,3,6,0,
"[347, 443, 153721, 152932, 5, 2, 61173]",153721,152932,5,6,0,
"[347, 443, 153721, 152932, 17, 1, 161928]",153721,152932,17,6,0,
"[347, 443, 153721, 152932, 257, 136, 80929]",153721,152932,257,6,0,
"[347, 443, 153721, 152932, 65537, 7085, 16533]",153721,152932,65537,6,0,
"[347, 449, 155803, 155008, 3, 2, 103339]",155803,155008,3,6,0,
"[347, 457, 158579, 157776, 3, 1, 210368]",158579,157776,3,6,0,
"[347, 461, 159967, 159160, 3, 2, 106107]",159967,159160,3,6,0,
"[347, 463, 160661, 159852, 3, 1, 213136]",160661,159852,3,6,0,
"[347, 463, 160661, 159852, 5, 2, 63941]",160661,159852,5,6,0,
"[347, 463, 160661, 159852, 17, 16, 150449]",160661,159852,17,6,0,
"[347, 463, 160661, 159852, 257, 129, 80237]",160661,159852,257,6,0,
"[347, 463, 160661, 159852, 65537, 7062, 17225]",160661,159852,65537,6,0,
"[347, 467, 162049, 161236, 3, 2, 107491]",162049,161236,3,6,0,
"[347, 467, 162049, 161236, 5, 4, 128989]",162049,161236,5,6,0,
"[347, 467, 162049, 161236, 17, 2, 18969]",162049,161236,17,6,0,
"[347, 467, 162049, 161236, 257, 204, 127985]",162049,161236,257,6,0,
"[347, 467, 162049, 161236, 65537, 56787, 139709]",162049,161236,65537,6,0,
"[347, 479, 166213, 165388, 3, 2, 110259]",166213,165388,3,6,0,
"[347, 479, 166213, 165388, 5, 3, 99233]",166213,165388,5,6,0,
"[347, 479, 166213, 165388, 17, 7, 68101]",166213,165388,17,6,0,
"[347, 479, 166213, 165388, 257, 15, 9653]",166213,165388,257,6,0,
"[347, 479, 166213, 165388, 65537, 63862, 161161]",166213,165388,65537,6,0,
"[347, 487, 168989, 168156, 3, 1, 224208]",168989,168156,3,6,0,
"[347, 487, 168989, 168156, 5, 4, 134525]",168989,168156,5,6,0,
"[347, 487, 168989, 168156, 17, 15, 148373]",168989,168156,17,6,0,
"[347, 487, 168989, 168156, 257, 56, 36641]",168989,168156,257,6,0,
"[347, 487, 168989, 168156, 65537, 45550, 116873]",168989,168156,65537,6,0,
"[347, 491, 170377, 169540, 3, 2, 113027]",170377,169540,3,6,0,
"[347, 491, 170377, 169540, 5, 1, 203448]",170377,169540,5,6,0,
"[347, 491, 170377, 169540, 17, 1, 9973]",170377,169540,17,6,0,
"[347, 491, 170377, 169540, 257, 151, 99613]",170377,169540,257,6,0,
"[347, 491, 170377, 169540, 65537, 1041, 2693]",170377,169540,65537,6,0,
"[347, 499, 173153, 172308, 3, 1, 229744]",173153,172308,3,6,0,
"[347, 499, 173153, 172308, 5, 3, 103385]",173153,172308,5,6,0,
"[347, 499, 173153, 172308, 17, 13, 131765]",173153,172308,17,6,0,
"[347, 499, 173153, 172308, 257, 98, 65705]",173153,172308,257,6,0,
"[347, 499, 173153, 172308, 65537, 41294, 108569]",173153,172308,65537,6,0,
"[347, 503, 174541, 173692, 3, 2, 115795]",174541,173692,3,6,0,
"[347, 503, 174541, 173692, 5, 2, 69477]",174541,173692,5,6,0,
"[347, 503, 174541, 173692, 17, 11, 112389]",174541,173692,17,6,0,
"[347, 503, 174541, 173692, 257, 45, 30413]",174541,173692,257,6,0,
"[347, 503, 174541, 173692, 65537, 43576, 115489]",174541,173692,65537,6,0,
"[347, 509, 176623, 175768, 3, 2, 117179]",176623,175768,3,6,0,
"[347, 521, 180787, 179920, 3, 2, 119947]",180787,179920,3,6,0,
"[347, 523, 181481, 180612, 3, 1, 240816]",181481,180612,3,6,0,
"[347, 523, 181481, 180612, 5, 2, 72245]",181481,180612,5,6,0,
"[347, 523, 181481, 180612, 17, 4, 42497]",181481,180612,17,6,0,
"[347, 523, 181481, 180612, 257, 61, 42869]",181481,180612,257,6,0,
"[347, 523, 181481, 180612, 65537, 55968, 154241]",181481,180612,65537,6,0,
"[347, 541, 187727, 186840, 3, 1, 249120]",187727,186840,3,6,0,
"[349, 353, 123197, 122496, 3, 1, 163328]",123197,122496,3,6,0,
"[349, 359, 125291, 124584, 3, 1, 166112]",125291,124584,3,6,0,
"[349, 367, 128083, 127368, 3, 1, 169824]",128083,127368,3,6,0,
"[349, 373, 130177, 129456, 3, 1, 172608]",130177,129456,3,6,0,
"[349, 379, 132271, 131544, 3, 1, 175392]",132271,131544,3,6,0,
"[349, 383, 133667, 132936, 3, 1, 177248]",133667,132936,3,6,0,
"[349, 389, 135761, 135024, 3, 1, 180032]",135761,135024,3,6,0,
"[349, 397, 138553, 137808, 3, 1, 183744]",138553,137808,3,6,0,
"[349, 401, 139949, 139200, 3, 1, 185600]",139949,139200,3,6,0,
"[349, 409, 142741, 141984, 3, 1, 189312]",142741,141984,3,6,0,
"[349, 419, 146231, 145464, 3, 1, 193952]",146231,145464,3,6,0,
"[349, 421, 146929, 146160, 3, 1, 194880]",146929,146160,3,6,0,
"[349, 431, 150419, 149640, 3, 1, 199520]",150419,149640,3,6,0,
"[349, 433, 151117, 150336, 3, 1, 200448]",151117,150336,3,6,0,
"[349, 439, 153211, 152424, 3, 1, 203232]",153211,152424,3,6,0,
"[349, 443, 154607, 153816, 3, 1, 205088]",154607,153816,3,6,0,
"[349, 449, 156701, 155904, 3, 1, 207872]",156701,155904,3,6,0,
"[349, 457, 159493, 158688, 3, 1, 211584]",159493,158688,3,6,0,
"[349, 461, 160889, 160080, 3, 1, 213440]",160889,160080,3,6,0,
"[349, 463, 161587, 160776, 3, 1, 214368]",161587,160776,3,6,0,
"[349, 467, 162983, 162168, 3, 1, 216224]",162983,162168,3,6,0,
"[349, 479, 167171, 166344, 3, 1, 221792]",167171,166344,3,6,0,
"[349, 487, 169963, 169128, 3, 1, 225504]",169963,169128,3,6,0,
"[349, 491, 171359, 170520, 3, 1, 227360]",171359,170520,3,6,0,
"[349, 499, 174151, 173304, 3, 1, 231072]",174151,173304,3,6,0,
"[349, 503, 175547, 174696, 3, 1, 232928]",175547,174696,3,6,0,
"[349, 509, 177641, 176784, 3, 1, 235712]",177641,176784,3,6,0,
"[349, 521, 181829, 180960, 3, 1, 241280]",181829,180960,3,6,0,
"[349, 523, 182527, 181656, 3, 1, 242208]",182527,181656,3,6,0,
"[349, 541, 188809, 187920, 3, 1, 250560]",188809,187920,3,6,0,
"[353, 359, 126727, 126016, 3, 2, 84011]",126727,126016,3,6,0,
"[353, 367, 129551, 128832, 3, 1, 171776]",129551,128832,3,6,0,
"[353, 373, 131669, 130944, 3, 1, 174592]",131669,130944,3,6,0,
"[353, 379, 133787, 133056, 3, 1, 177408]",133787,133056,3,6,0,
"[353, 383, 135199, 134464, 3, 2, 89643]",135199,134464,3,6,0,
"[353, 389, 137317, 136576, 3, 2, 91051]",137317,136576,3,6,0,
"[353, 397, 140141, 139392, 3, 1, 185856]",140141,139392,3,6,0,
"[353, 401, 141553, 140800, 3, 2, 93867]",141553,140800,3,6,0,
"[353, 409, 144377, 143616, 3, 1, 191488]",144377,143616,3,6,0,
"[353, 419, 147907, 147136, 3, 2, 98091]",147907,147136,3,6,0,
"[353, 421, 148613, 147840, 3, 1, 197120]",148613,147840,3,6,0,
"[353, 431, 152143, 151360, 3, 2, 100907]",152143,151360,3,6,0,
"[353, 433, 152849, 152064, 3, 1, 202752]",152849,152064,3,6,0,
"[353, 439, 154967, 154176, 3, 1, 205568]",154967,154176,3,6,0,
"[353, 443, 156379, 155584, 3, 2, 103723]",156379,155584,3,6,0,
"[353, 449, 158497, 157696, 3, 2, 105131]",158497,157696,3,6,0,
"[353, 457, 161321, 160512, 3, 1, 214016]",161321,160512,3,6,0,
"[353, 461, 162733, 161920, 3, 2, 107947]",162733,161920,3,6,0,
"[353, 463, 163439, 162624, 3, 1, 216832]",163439,162624,3,6,0,
"[353, 467, 164851, 164032, 3, 2, 109355]",164851,164032,3,6,0,
"[353, 479, 169087, 168256, 3, 2, 112171]",169087,168256,3,6,0,
"[353, 487, 171911, 171072, 3, 1, 228096]",171911,171072,3,6,0,
"[353, 491, 173323, 172480, 3, 2, 114987]",173323,172480,3,6,0,
"[353, 499, 176147, 175296, 3, 1, 233728]",176147,175296,3,6,0,
"[353, 503, 177559, 176704, 3, 2, 117803]",177559,176704,3,6,0,
"[353, 509, 179677, 178816, 3, 2, 119211]",179677,178816,3,6,0,
"[353, 521, 183913, 183040, 3, 2, 122027]",183913,183040,3,6,0,
"[353, 523, 184619, 183744, 3, 1, 244992]",184619,183744,3,6,0,
"[353, 541, 190973, 190080, 3, 1, 253440]",190973,190080,3,6,0,
"[359, 367, 131753, 131028, 3, 1, 174704]",131753,131028,3,6,0,
"[359, 367, 131753, 131028, 5, 3, 78617]",131753,131028,5,6,0,
"[359, 367, 131753, 131028, 17, 15, 115613]",131753,131028,17,6,0,
"[359, 367, 131753, 131028, 257, 153, 78005]",131753,131028,257,6,0,
"[359, 367, 131753, 131028, 65537, 55564, 111089]",131753,131028,65537,6,0,
"[359, 373, 133907, 133176, 3, 1, 177568]",133907,133176,3,6,0,
"[359, 379, 136061, 135324, 3, 1, 180432]",136061,135324,3,6,0,
"[359, 379, 136061, 135324, 5, 1, 27065]",136061,135324,5,6,0,
"[359, 379, 136061, 135324, 17, 4, 31841]",136061,135324,17,6,0,
"[359, 379, 136061, 135324, 257, 38, 20009]",136061,135324,257,6,0,
"[359, 379, 136061, 135324, 65537, 11149, 23021]",136061,135324,65537,6,0,
"[359, 383, 137497, 136756, 3, 2, 91171]",137497,136756,3,6,0,
"[359, 383, 137497, 136756, 5, 4, 109405]",137497,136756,5,6,0,
"[359, 383, 137497, 136756, 17, 2, 16089]",137497,136756,17,6,0,
"[359, 383, 137497, 136756, 257, 8, 4257]",137497,136756,257,6,0,
"[359, 383, 137497, 136756, 65537, 7601, 15861]",137497,136756,65537,6,0,
"[359, 389, 139651, 138904, 3, 2, 92603]",139651,138904,3,6,0,
"[359, 397, 142523, 141768, 3, 1, 189024]",142523,141768,3,6,0,
"[359, 401, 143959, 143200, 3, 2, 95467]",143959,143200,3,6,0,
"[359, 409, 146831, 146064, 3, 1, 194752]",146831,146064,3,6,0,
"[359, 419, 150421, 149644, 3, 2, 99763]",150421,149644,3,6,0,
"[359, 419, 150421, 149644, 5, 1, 29929]",150421,149644,5,6,0,
"[359, 419, 150421, 149644, 17, 5, 44013]",150421,149644,17,6,0,
"[359, 419, 150421, 149644, 257, 11, 6405]",150421,149644,257,6,0,
"[359, 419, 150421, 149644, 65537, 13845, 31613]",150421,149644,65537,6,0,
"[359, 421, 151139, 150360, 3, 1, 200480]",151139,150360,3,6,0,
"[359, 431, 154729, 153940, 3, 2, 102627]",154729,153940,3,6,0,
"[359, 431, 154729, 153940, 5, 1, 184728]",154729,153940,5,6,0,
"[359, 431, 154729, 153940, 17, 10, 90553]",154729,153940,17,6,0,
"[359, 431, 154729, 153940, 257, 86, 51513]",154729,153940,257,6,0,
"[359, 431, 154729, 153940, 65537, 57658, 135433]",154729,153940,65537,6,0,
"[359, 433, 155447, 154656, 3, 1, 206208]",155447,154656,3,6,0,
"[359, 439, 157601, 156804, 3, 1, 209072]",157601,156804,3,6,0,
"[359, 439, 157601, 156804, 5, 1, 31361]",157601,156804,5,6,0,
"[359, 439, 157601, 156804, 17, 13, 119909]",157601,156804,17,6,0,
"[359, 439, 157601, 156804, 257, 68, 41489]",157601,156804,257,6,0,
"[359, 439, 157601, 156804, 65537, 62590, 149753]",157601,156804,65537,6,0,
"[359, 443, 159037, 158236, 3, 2, 105491]",159037,158236,3,6,0,
"[359, 443, 159037, 158236, 5, 4, 126589]",159037,158236,5,6,0,
"[359, 443, 159037, 158236, 17, 1, 167544]",159037,158236,17,6,0,
"[359, 443, 159037, 158236, 257, 186, 114521]",159037,158236,257,6,0,
"[359, 443, 159037, 158236, 65537, 5383, 12997]",159037,158236,65537,6,0,
"[359, 449, 161191, 160384, 3, 2, 106923]",161191,160384,3,6,0,
"[359, 457, 164063, 163248, 3, 1, 217664]",164063,163248,3,6,0,
"[359, 461, 165499, 164680, 3, 2, 109787]",165499,164680,3,6,0,
"[359, 463, 166217, 165396, 3, 1, 220528]",166217,165396,3,6,0,
"[359, 463, 166217, 165396, 5, 4, 132317]",166217,165396,5,6,0,
"[359, 463, 166217, 165396, 17, 11, 107021]",166217,165396,17,6,0,
"[359, 463, 166217, 165396, 257, 218, 140297]",166217,165396,257,6,0,
"[359, 463, 166217, 165396, 65537, 3164, 7985]",166217,165396,65537,6,0,
"[359, 467, 167653, 166828, 3, 2, 111219]",167653,166828,3,6,0,
"[359, 467, 167653, 166828, 5, 3, 100097]",167653,166828,5,6,0,
"[359, 467, 167653, 166828, 17, 12, 117761]",167653,166828,17,6,0,
"[359, 467, 167653, 166828, 257, 22, 14281]",167653,166828,257,6,0,
"[359, 467, 167653, 166828, 65537, 39140, 99633]",167653,166828,65537,6,0,
"[359, 479, 171961, 171124, 3, 2, 114083]",171961,171124,3,6,0,
"[359, 479, 171961, 171124, 5, 1, 34225]",171961,171124,5,6,0,
"[359, 479, 171961, 171124, 17, 8, 80529]",171961,171124,17,6,0,
"[359, 479, 171961, 171124, 257, 115, 76573]",171961,171124,257,6,0,
"[359, 479, 171961, 171124, 65537, 9365, 24453]",171961,171124,65537,6,0,
"[359, 487, 174833, 173988, 3, 1, 231984]",174833,173988,3,6,0,
"[359, 487, 174833, 173988, 5, 3, 104393]",174833,173988,5,6,0,
"[359, 487, 174833, 173988, 17, 5, 51173]",174833,173988,17,6,0,
"[359, 487, 174833, 173988, 257, 1, 677]",174833,173988,257,6,0,
"[359, 487, 174833, 173988, 65537, 37799, 100349]",174833,173988,65537,6,0,
"[359, 491, 176269, 175420, 3, 2, 116947]",176269,175420,3,6,0,
"[359, 491, 176269, 175420, 5, 1, 210504]",176269,175420,5,6,0,
"[359, 491, 176269, 175420, 17, 6, 61913]",176269,175420,17,6,0,
"[359, 491, 176269, 175420, 257, 44, 30033]",176269,175420,257,6,0,
"[359, 491, 176269, 175420, 65537, 29198, 78153]",176269,175420,65537,6,0,
"[359, 499, 179141, 178284, 3, 1, 237712]",179141,178284,3,6,0,
"[359, 499, 179141, 178284, 5, 1, 35657]",179141,178284,5,6,0,
"[359, 499, 179141, 178284, 17, 10, 104873]",179141,178284,17,6,0,
"[359, 499, 179141, 178284, 257, 66, 45785]",179141,178284,257,6,0,
"[359, 499, 179141, 178284, 65537, 43205, 117533]",179141,178284,65537,6,0,
"[359, 503, 180577, 179716, 3, 2, 119811]",180577,179716,3,6,0,
"[359, 503, 180577, 179716, 5, 4, 143773]",180577,179716,5,6,0,
"[359, 503, 180577, 179716, 17, 15, 158573]",180577,179716,17,6,0,
"[359, 503, 180577, 179716, 257, 88, 61537]",180577,179716,257,6,0,
"[359, 503, 180577, 179716, 65537, 18317, 50229]",180577,179716,65537,6,0,
"[359, 509, 182731, 181864, 3, 2, 121243]",182731,181864,3,6,0,
"[359, 521, 187039, 186160, 3, 2, 124107]",187039,186160,3,6,0,
"[359, 523, 187757, 186876, 3, 1, 249168]",187757,186876,3,6,0,
"[359, 523, 187757, 186876, 5, 4, 149501]",187757,186876,5,6,0,
"[359, 523, 187757, 186876, 17, 7, 76949]",187757,186876,17,6,0,
"[359, 523, 187757, 186876, 257, 125, 90893]",187757,186876,257,6,0,
"[359, 523, 187757, 186876, 65537, 17113, 48797]",187757,186876,65537,6,0,
"[359, 541, 194219, 193320, 3, 1, 257760]",194219,193320,3,6,0,
"[367, 373, 136891, 136152, 3, 1, 181536]",136891,136152,3,6,0,
"[367, 379, 139093, 138348, 3, 1, 184464]",139093,138348,3,6,0,
"[367, 379, 139093, 138348, 5, 3, 83009]",139093,138348,5,6,0,
"[367, 379, 139093, 138348, 17, 8, 65105]",139093,138348,17,6,0,
"[367, 379, 139093, 138348, 257, 47, 25301]",139093,138348,257,6,0,
"[367, 379, 139093, 138348, 65537, 47076, 99377]",139093,138348,65537,6,0,
"[367, 383, 140561, 139812, 3, 1, 186416]",140561,139812,3,6,0,
"[367, 383, 140561, 139812, 5, 2, 55925]",140561,139812,5,6,0,
"[367, 383, 140561, 139812, 17, 4, 32897]",140561,139812,17,6,0,
"[367, 383, 140561, 139812, 257, 64, 34817]",140561,139812,257,6,0,
"[367, 383, 140561, 139812, 65537, 16388, 34961]",140561,139812,65537,6,0,
"[367, 389, 142763, 142008, 3, 1, 189344]",142763,142008,3,6,0,
"[367, 397, 145699, 144936, 3, 1, 193248]",145699,144936,3,6,0,
"[367, 401, 147167, 146400, 3, 1, 195200]",147167,146400,3,6,0,
"[367, 409, 150103, 149328, 3, 1, 199104]",150103,149328,3,6,0,
"[367, 419, 153773, 152988, 3, 1, 203984]",153773,152988,3,6,0,
"[367, 419, 153773, 152988, 5, 3, 91793]",153773,152988,5,6,0,
"[367, 419, 153773, 152988, 17, 10, 89993]",153773,152988,17,6,0,
"[367, 419, 153773, 152988, 257, 88, 52385]",153773,152988,257,6,0,
"[367, 419, 153773, 152988, 65537, 12468, 29105]",153773,152988,65537,6,0,
"[367, 421, 154507, 153720, 3, 1, 204960]",154507,153720,3,6,0,
"[367, 431, 158177, 157380, 3, 1, 209840]",158177,157380,3,6,0,
"[367, 431, 158177, 157380, 5, 1, 188856]",158177,157380,5,6,0,
"[367, 431, 158177, 157380, 17, 3, 27773]",158177,157380,17,6,0,
"[367, 431, 158177, 157380, 257, 174, 106553]",158177,157380,257,6,0,
"[367, 431, 158177, 157380, 65537, 8767, 21053]",158177,157380,65537,6,0,
"[367, 433, 158911, 158112, 3, 1, 210816]",158911,158112,3,6,0,
"[367, 439, 161113, 160308, 3, 1, 213744]",161113,160308,3,6,0,
"[367, 439, 161113, 160308, 5, 3, 96185]",161113,160308,5,6,0,
"[367, 439, 161113, 160308, 17, 9, 84869]",161113,160308,17,6,0,
"[367, 439, 161113, 160308, 257, 30, 18713]",161113,160308,257,6,0,
"[367, 439, 161113, 160308, 65537, 41525, 101573]",161113,160308,65537,6,0,
"[367, 443, 162581, 161772, 3, 1, 215696]",162581,161772,3,6,0,
"[367, 443, 162581, 161772, 5, 2, 64709]",162581,161772,5,6,0,
"[367, 443, 162581, 161772, 17, 1, 171288]",162581,161772,17,6,0,
"[367, 443, 162581, 161772, 257, 203, 127781]",162581,161772,257,6,0,
"[367, 443, 162581, 161772, 65537, 24246, 59849]",162581,161772,65537,6,0,
"[367, 449, 164783, 163968, 3, 1, 218624]",164783,163968,3,6,0,
"[367, 457, 167719, 166896, 3, 1, 222528]",167719,166896,3,6,0,
"[367, 461, 169187, 168360, 3, 1, 224480]",169187,168360,3,6,0,
"[367, 463, 169921, 169092, 3, 1, 225456]",169921,169092,3,6,0,
"[367, 463, 169921, 169092, 5, 2, 67637]",169921,169092,5,6,0,
"[367, 463, 169921, 169092, 17, 5, 49733]",169921,169092,17,6,0,
"[367, 463, 169921, 169092, 257, 202, 132905]",169921,169092,257,6,0,
"[367, 463, 169921, 169092, 65537, 20643, 53261]",169921,169092,65537,6,0,
"[367, 467, 171389, 170556, 3, 1, 227408]",171389,170556,3,6,0,
"[367, 467, 171389, 170556, 5, 4, 136445]",171389,170556,5,6,0,
"[367, 467, 171389, 170556, 17, 7, 70229]",171389,170556,17,6,0,
"[367, 467, 171389, 170556, 257, 176, 116801]",171389,170556,257,6,0,
"[367, 467, 171389, 170556, 65537, 48312, 125729]",171389,170556,65537,6,0,
"[367, 479, 175793, 174948, 3, 1, 233264]",175793,174948,3,6,0,
"[367, 479, 175793, 174948, 5, 3, 104969]",175793,174948,5,6,0,
"[367, 479, 175793, 174948, 17, 16, 164657]",175793,174948,17,6,0,
"[367, 479, 175793, 174948, 257, 149, 101429]",175793,174948,257,6,0,
"[367, 479, 175793, 174948, 65537, 48196, 128657]",175793,174948,65537,6,0,
"[367, 487, 178729, 177876, 3, 1, 237168]",178729,177876,3,6,0,
"[367, 487, 178729, 177876, 5, 4, 142301]",178729,177876,5,6,0,
"[367, 487, 178729, 177876, 17, 10, 104633]",178729,177876,17,6,0,
"[367, 487, 178729, 177876, 257, 8, 5537]",178729,177876,257,6,0,
"[367, 487, 178729, 177876, 65537, 14769, 40085]",178729,177876,65537,6,0,
"[367, 491, 180197, 179340, 3, 1, 239120]",180197,179340,3,6,0,
"[367, 491, 180197, 179340, 5, 1, 215208]",180197,179340,5,6,0,
"[367, 491, 180197, 179340, 17, 12, 126593]",180197,179340,17,6,0,
"[367, 491, 180197, 179340, 257, 95, 66293]",180197,179340,257,6,0,
"[367, 491, 180197, 179340, 65537, 6356, 17393]",180197,179340,65537,6,0,
"[367, 499, 183133, 182268, 3, 1, 243024]",183133,182268,3,6,0,
"[367, 499, 183133, 182268, 5, 3, 109361]",183133,182268,5,6,0,
"[367, 499, 183133, 182268, 17, 3, 32165]",183133,182268,17,6,0,
"[367, 499, 183133, 182268, 257, 14, 9929]",183133,182268,257,6,0,
"[367, 499, 183133, 182268, 65537, 40470, 112553]",183133,182268,65537,6,0,
"[367, 503, 184601, 183732, 3, 1, 244976]",184601,183732,3,6,0,
"[367, 503, 184601, 183732, 5, 2, 73493]",184601,183732,5,6,0,
"[367, 503, 184601, 183732, 17, 13, 140501]",184601,183732,17,6,0,
"[367, 503, 184601, 183732, 257, 190, 135833]",184601,183732,257,6,0,
"[367, 503, 184601, 183732, 65537, 16126, 45209]",184601,183732,65537,6,0,
"[367, 509, 186803, 185928, 3, 1, 247904]",186803,185928,3,6,0,
"[367, 521, 191207, 190320, 3, 1, 253760]",191207,190320,3,6,0,
"[367, 523, 191941, 191052, 3, 1, 254736]",191941,191052,3,6,0,
"[367, 523, 191941, 191052, 5, 2, 76421]",191941,191052,5,6,0,
"[367, 523, 191941, 191052, 17, 14, 157337]",191941,191052,17,6,0,
"[367, 523, 191941, 191052, 257, 229, 170237]",191941,191052,257,6,0,
"[367, 523, 191941, 191052, 65537, 45389, 132317]",191941,191052,65537,6,0,
"[367, 541, 198547, 197640, 3, 1, 263520]",198547,197640,3,6,0,
"[373, 379, 141367, 140616, 3, 1, 187488]",141367,140616,3,6,0,
"[373, 383, 142859, 142104, 3, 1, 189472]",142859,142104,3,6,0,
"[373, 389, 145097, 144336, 3, 1, 192448]",145097,144336,3,6,0,
"[373, 397, 148081, 147312, 3, 1, 196416]",148081,147312,3,6,0,
"[373, 401, 149573, 148800, 3, 1, 198400]",149573,148800,3,6,0,
"[373, 409, 152557, 151776, 3, 1, 202368]",152557,151776,3,6,0,
"[373, 419, 156287, 155496, 3, 1, 207328]",156287,155496,3,6,0,
"[373, 421, 157033, 156240, 3, 1, 208320]",157033,156240,3,6,0,
"[373, 431, 160763, 159960, 3, 1, 213280]",160763,159960,3,6,0,
"[373, 433, 161509, 160704, 3, 1, 214272]",161509,160704,3,6,0,
"[373, 439, 163747, 162936, 3, 1, 217248]",163747,162936,3,6,0,
"[373, 443, 165239, 164424, 3, 1, 219232]",165239,164424,3,6,0,
"[373, 449, 167477, 166656, 3, 1, 222208]",167477,166656,3,6,0,
"[373, 457, 170461, 169632, 3, 1, 226176]",170461,169632,3,6,0,
"[373, 461, 171953, 171120, 3, 1, 228160]",171953,171120,3,6,0,
"[373, 463, 172699, 171864, 3, 1, 229152]",172699,171864,3,6,0,
"[373, 467, 174191, 173352, 3, 1, 231136]",174191,173352,3,6,0,
"[373, 479, 178667, 177816, 3, 1, 237088]",178667,177816,3,6,0,
"[373, 487, 181651, 180792, 3, 1, 241056]",181651,180792,3,6,0,
"[373, 491, 183143, 182280, 3, 1, 243040]",183143,182280,3,6,0,
"[373, 499, 186127, 185256, 3, 1, 247008]",186127,185256,3,6,0,
"[373, 503, 187619, 186744, 3, 1, 248992]",187619,186744,3,6,0,
