"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[5, 17, 85, 64, 2083, 358, 11]",85,64,2083,7.14
"[5, 17, 85, 64, 2087, 750, 23]",85,64,2087,7.14
"[5, 17, 85, 64, 2089, 816, 25]",85,64,2089,50.0
"[5, 17, 85, 64, 2099, 1935, 59]",85,64,2099,7.14
"[5, 17, 85, 64, 2111, 2078, 63]",85,64,2111,7.14
"[5, 17, 85, 64, 2113, 33, 1]",85,64,2113,97.62
"[5, 17, 85, 64, 2129, 1630, 49]",85,64,2129,97.62
"[5, 17, 85, 64, 2131, 899, 27]",85,64,2131,7.14
"[5, 17, 85, 64, 2137, 1369, 41]",85,64,2137,50.0
"[5, 17, 85, 64, 2141, 1773, 53]",85,64,2141,26.19
"[5, 17, 85, 64, 2143, 1038, 31]",85,64,2143,7.14
"[5, 17, 85, 64, 2153, 841, 25]",85,64,2153,50.0
"[5, 17, 85, 64, 2161, 574, 17]",85,64,2161,97.62
"[5, 17, 85, 64, 2179, 1464, 43]",85,64,2179,7.14
"[5, 17, 85, 64, 2203, 654, 19]",85,64,2203,7.14
"[5, 17, 85, 64, 2207, 1069, 31]",85,64,2207,7.14
"[5, 17, 85, 64, 2213, 1556, 45]",85,64,2213,26.19
"[5, 17, 85, 64, 2221, 1284, 37]",85,64,2221,26.19
"[5, 17, 85, 64, 2237, 734, 21]",85,64,2237,26.19
"[5, 17, 85, 64, 2239, 2204, 63]",85,64,2239,7.14
"[5, 17, 85, 64, 2243, 1507, 43]",85,64,2243,7.14
"[5, 17, 85, 64, 2251, 1231, 35]",85,64,2251,7.14
"[5, 17, 85, 64, 2267, 673, 19]",85,64,2267,7.14
"[5, 17, 85, 64, 2269, 1879, 53]",85,64,2269,26.19
"[5, 17, 85, 64, 2273, 1172, 33]",85,64,2273,97.62
"[5, 17, 85, 64, 2281, 891, 25]",85,64,2281,50.0
"[5, 17, 85, 64, 2287, 536, 15]",85,64,2287,7.14
"[5, 17, 85, 64, 2293, 1039, 29]",85,64,2293,26.19
"[5, 17, 85, 64, 2297, 323, 9]",85,64,2297,50.0
"[5, 17, 85, 64, 2309, 469, 13]",85,64,2309,26.19
"[5, 17, 85, 64, 2311, 1986, 55]",85,64,2311,7.14
"[5, 17, 85, 64, 2333, 1932, 53]",85,64,2333,26.19
"[5, 17, 85, 64, 2339, 402, 11]",85,64,2339,7.14
"[5, 17, 85, 64, 2341, 1646, 45]",85,64,2341,26.19
"[5, 17, 85, 64, 2347, 110, 3]",85,64,2347,7.14
"[5, 17, 85, 64, 2351, 551, 15]",85,64,2351,7.14
"[5, 17, 85, 64, 2357, 1068, 29]",85,64,2357,26.19
"[5, 17, 85, 64, 2371, 1593, 43]",85,64,2371,7.14
"[5, 17, 85, 64, 2377, 2117, 57]",85,64,2377,50.0
"[5, 17, 85, 64, 2381, 186, 5]",85,64,2381,26.19
"[5, 17, 85, 64, 2383, 1750, 47]",85,64,2383,7.14
"[5, 17, 85, 64, 2389, 2277, 61]",85,64,2389,26.19
"[5, 17, 85, 64, 2393, 1533, 41]",85,64,2393,50.0
"[5, 17, 85, 64, 2399, 1162, 31]",85,64,2399,7.14
"[5, 17, 85, 64, 2411, 113, 3]",85,64,2411,7.14
"[5, 17, 85, 64, 2417, 642, 17]",85,64,2417,97.62
"[5, 17, 85, 64, 2423, 265, 7]",85,64,2423,7.14
"[5, 17, 85, 64, 2437, 495, 13]",85,64,2437,26.19
"[5, 17, 85, 64, 2441, 2174, 57]",85,64,2441,50.0
"[5, 17, 85, 64, 2447, 1797, 47]",85,64,2447,7.14
"[5, 17, 85, 64, 2459, 730, 19]",85,64,2459,7.14
"[5, 17, 85, 64, 2467, 424, 11]",85,64,2467,7.14
"[5, 17, 85, 64, 2473, 966, 25]",85,64,2473,50.0
"[5, 17, 85, 64, 2477, 1432, 37]",85,64,2477,26.19
"[5, 17, 85, 64, 2503, 2151, 55]",85,64,2503,7.14
"[5, 17, 85, 64, 2521, 1615, 41]",85,64,2521,50.0
"[5, 17, 85, 64, 2531, 435, 11]",85,64,2531,7.14
"[5, 17, 85, 64, 2539, 119, 3]",85,64,2539,7.14
"[5, 17, 85, 64, 2543, 596, 15]",85,64,2543,7.14
"[5, 17, 85, 64, 2549, 1155, 29]",85,64,2549,26.19
"[5, 17, 85, 64, 2551, 279, 7]",85,64,2551,7.14
"[5, 17, 85, 64, 2557, 839, 21]",85,64,2557,26.19
"[5, 17, 85, 64, 2579, 1088, 27]",85,64,2579,7.14
"[5, 17, 85, 64, 2591, 1255, 31]",85,64,2591,7.14
"[5, 17, 85, 64, 2593, 1337, 33]",85,64,2593,97.62
"[5, 17, 85, 64, 2609, 693, 17]",85,64,2609,97.62
"[5, 17, 85, 64, 2617, 368, 9]",85,64,2617,50.0
"[5, 17, 85, 64, 2621, 860, 21]",85,64,2621,26.19
"[5, 17, 85, 64, 2633, 2345, 57]",85,64,2633,50.0
"[5, 17, 85, 64, 2647, 1613, 39]",85,64,2647,7.14
"[5, 17, 85, 64, 2657, 1370, 33]",85,64,2657,97.62
"[5, 17, 85, 64, 2659, 457, 11]",85,64,2659,7.14
"[5, 17, 85, 64, 2663, 957, 23]",85,64,2663,7.14
"[5, 17, 85, 64, 2671, 626, 15]",85,64,2671,7.14
"[5, 17, 85, 64, 2677, 1213, 29]",85,64,2677,26.19
"[5, 17, 85, 64, 2683, 2138, 51]",85,64,2683,7.14
