"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage 
"[3, 17, 51, 32, 29123, 10011, 11]",51,32,29123,12.0
"[3, 17, 51, 32, 29129, 22757, 25]",51,32,29129,48.0
"[3, 17, 51, 32, 29131, 2731, 3]",51,32,29131,12.0
"[3, 17, 51, 32, 29137, 15479, 17]",51,32,29137,96.0
"[3, 17, 51, 32, 29147, 17306, 19]",51,32,29147,12.0
"[3, 17, 51, 32, 29153, 911, 1]",51,32,29153,96.0
"[3, 17, 51, 32, 29167, 13672, 15]",51,32,29167,12.0
"[3, 17, 51, 32, 29173, 26438, 29]",51,32,29173,24.0
"[3, 17, 51, 32, 29179, 17325, 19]",51,32,29179,12.0
"[3, 17, 51, 32, 29191, 20981, 23]",51,32,29191,12.0
"[3, 17, 51, 32, 29201, 15513, 17]",51,32,29201,96.0
"[3, 17, 51, 32, 29207, 6389, 7]",51,32,29207,12.0
"[3, 17, 51, 32, 29209, 8215, 9]",51,32,29209,48.0
"[3, 17, 51, 32, 29221, 11871, 13]",51,32,29221,24.0
"[3, 17, 51, 32, 29231, 13702, 15]",51,32,29231,12.0
"[3, 17, 51, 32, 29243, 17363, 19]",51,32,29243,12.0
"[3, 17, 51, 32, 29251, 10055, 11]",51,32,29251,12.0
"[3, 17, 51, 32, 29269, 26525, 29]",51,32,29269,24.0
"[3, 17, 51, 32, 29287, 21050, 23]",51,32,29287,12.0
"[3, 17, 51, 32, 29297, 15564, 17]",51,32,29297,96.0
"[3, 17, 51, 32, 29303, 6410, 7]",51,32,29303,12.0
"[3, 17, 51, 32, 29311, 28395, 31]",51,32,29311,12.0
"[3, 17, 51, 32, 29327, 13747, 15]",51,32,29327,12.0
"[3, 17, 51, 32, 29333, 26583, 29]",51,32,29333,24.0
"[3, 17, 51, 32, 29339, 17420, 19]",51,32,29339,12.0
"[3, 17, 51, 32, 29347, 10088, 11]",51,32,29347,12.0
"[3, 17, 51, 32, 29363, 24775, 27]",51,32,29363,12.0
"[3, 17, 51, 32, 29383, 21119, 23]",51,32,29383,12.0
"[3, 17, 51, 32, 29387, 2755, 3]",51,32,29387,12.0
"[3, 17, 51, 32, 29389, 4592, 5]",51,32,29389,24.0
"[3, 17, 51, 32, 29399, 6431, 7]",51,32,29399,12.0
"[3, 17, 51, 32, 29401, 8269, 9]",51,32,29401,48.0
"[3, 17, 51, 32, 29411, 10110, 11]",51,32,29411,12.0
"[3, 17, 51, 32, 29423, 13792, 15]",51,32,29423,12.0
"[3, 17, 51, 32, 29429, 26670, 29]",51,32,29429,24.0
"[3, 17, 51, 32, 29437, 19318, 21]",51,32,29437,24.0
"[3, 17, 51, 32, 29443, 10121, 11]",51,32,29443,12.0
"[3, 17, 51, 32, 29453, 4602, 5]",51,32,29453,24.0
"[3, 17, 51, 32, 29473, 921, 1]",51,32,29473,96.0
"[3, 17, 51, 32, 29483, 2764, 3]",51,32,29483,12.0
"[3, 17, 51, 32, 29501, 19360, 21]",51,32,29501,24.0
"[3, 17, 51, 32, 29527, 6459, 7]",51,32,29527,12.0
"[3, 17, 51, 32, 29531, 17534, 19]",51,32,29531,12.0
"[3, 17, 51, 32, 29537, 923, 1]",51,32,29537,96.0
"[3, 17, 51, 32, 29567, 28643, 31]",51,32,29567,12.0
"[3, 17, 51, 32, 29569, 924, 1]",51,32,29569,96.0
"[3, 17, 51, 32, 29573, 12014, 13]",51,32,29573,24.0
"[3, 17, 51, 32, 29581, 4622, 5]",51,32,29581,24.0
"[3, 17, 51, 32, 29587, 24964, 27]",51,32,29587,12.0
"[3, 17, 51, 32, 29599, 28674, 31]",51,32,29599,12.0
"[3, 17, 51, 32, 29611, 2776, 3]",51,32,29611,12.0
"[3, 17, 51, 32, 29629, 19444, 21]",51,32,29629,24.0
"[3, 17, 51, 32, 29633, 926, 1]",51,32,29633,96.0
"[3, 17, 51, 32, 29641, 23157, 25]",51,32,29641,48.0
"[3, 17, 51, 32, 29663, 28736, 31]",51,32,29663,12.0
"[3, 17, 51, 32, 29669, 12053, 13]",51,32,29669,24.0
"[3, 17, 51, 32, 29671, 21326, 23]",51,32,29671,12.0
"[3, 17, 51, 32, 29683, 25045, 27]",51,32,29683,12.0
"[3, 17, 51, 32, 29717, 26931, 29]",51,32,29717,24.0
"[3, 17, 51, 32, 29723, 17648, 19]",51,32,29723,12.0
"[3, 17, 51, 32, 29741, 4647, 5]",51,32,29741,24.0
"[3, 17, 51, 32, 29753, 8368, 9]",51,32,29753,48.0
"[3, 17, 51, 32, 29759, 28829, 31]",51,32,29759,12.0
"[3, 17, 51, 32, 29761, 930, 1]",51,32,29761,96.0
"[3, 17, 51, 32, 29789, 19549, 21]",51,32,29789,24.0
"[3, 17, 51, 32, 29803, 2794, 3]",51,32,29803,12.0
"[3, 17, 51, 32, 29819, 17705, 19]",51,32,29819,12.0
"[3, 17, 51, 32, 29833, 23307, 25]",51,32,29833,48.0
"[3, 17, 51, 32, 29837, 4662, 5]",51,32,29837,24.0
"[3, 17, 51, 32, 29851, 17724, 19]",51,32,29851,12.0
"[3, 17, 51, 32, 29863, 21464, 23]",51,32,29863,12.0
"[3, 17, 51, 32, 29867, 2800, 3]",51,32,29867,12.0
"[3, 17, 51, 32, 29873, 15870, 17]",51,32,29873,96.0
"[3, 17, 51, 32, 29879, 6536, 7]",51,32,29879,12.0
"[3, 17, 51, 32, 29881, 8404, 9]",51,32,29881,48.0
"[3, 17, 51, 32, 29917, 19633, 21]",51,32,29917,24.0
"[3, 17, 51, 32, 29921, 935, 1]",51,32,29921,96.0
"[3, 17, 51, 32, 29927, 21510, 23]",51,32,29927,12.0
"[3, 17, 51, 32, 29947, 17781, 19]",51,32,29947,12.0
"[3, 17, 51, 32, 29959, 21533, 23]",51,32,29959,12.0
"[3, 17, 51, 32, 29983, 29046, 31]",51,32,29983,12.0
"[3, 17, 51, 32, 29989, 12183, 13]",51,32,29989,24.0
"[3, 17, 51, 32, 30011, 17819, 19]",51,32,30011,12.0
"[3, 17, 51, 32, 30013, 19696, 21]",51,32,30013,24.0
"[3, 17, 51, 32, 30029, 4692, 5]",51,32,30029,24.0
"[3, 17, 51, 32, 30047, 29108, 31]",51,32,30047,12.0
"[3, 17, 51, 32, 30059, 2818, 3]",51,32,30059,12.0
"[3, 17, 51, 32, 30071, 6578, 7]",51,32,30071,12.0
"[3, 17, 51, 32, 30089, 23507, 25]",51,32,30089,48.0
"[3, 17, 51, 32, 30091, 2821, 3]",51,32,30091,12.0
"[3, 17, 51, 32, 30097, 15989, 17]",51,32,30097,96.0
"[3, 17, 51, 32, 30103, 6585, 7]",51,32,30103,12.0
"[3, 17, 51, 32, 30109, 19759, 21]",51,32,30109,24.0
"[3, 17, 51, 32, 30113, 941, 1]",51,32,30113,96.0
"[3, 17, 51, 32, 30119, 21648, 23]",51,32,30119,12.0
"[3, 17, 51, 32, 30133, 27308, 29]",51,32,30133,24.0
"[3, 17, 51, 32, 30137, 8476, 9]",51,32,30137,48.0
"[3, 17, 51, 32, 30139, 17895, 19]",51,32,30139,12.0
"[3, 17, 51, 32, 30161, 16023, 17]",51,32,30161,96.0
"[3, 17, 51, 32, 30169, 8485, 9]",51,32,30169,48.0
"[3, 17, 51, 32, 30181, 12261, 13]",51,32,30181,24.0
"[3, 17, 51, 32, 30187, 2830, 3]",51,32,30187,12.0
"[3, 17, 51, 32, 30197, 27366, 29]",51,32,30197,24.0
"[3, 17, 51, 32, 30203, 17933, 19]",51,32,30203,12.0
"[3, 17, 51, 32, 30211, 10385, 11]",51,32,30211,12.0
"[3, 17, 51, 32, 30223, 14167, 15]",51,32,30223,12.0
"[3, 17, 51, 32, 30241, 945, 1]",51,32,30241,96.0
"[3, 17, 51, 32, 30253, 4727, 5]",51,32,30253,24.0
"[3, 17, 51, 32, 30259, 25531, 27]",51,32,30259,12.0
"[3, 17, 51, 32, 30269, 19864, 21]",51,32,30269,24.0
"[3, 17, 51, 32, 30271, 29325, 31]",51,32,30271,12.0
"[3, 17, 51, 32, 30293, 27453, 29]",51,32,30293,24.0
"[3, 17, 51, 32, 30307, 10418, 11]",51,32,30307,12.0
"[3, 17, 51, 32, 30313, 23682, 25]",51,32,30313,48.0
"[3, 17, 51, 32, 30319, 14212, 15]",51,32,30319,12.0
"[3, 17, 51, 32, 30323, 25585, 27]",51,32,30323,12.0
"[3, 17, 51, 32, 30341, 12326, 13]",51,32,30341,24.0
"[3, 17, 51, 32, 30347, 2845, 3]",51,32,30347,12.0
"[3, 17, 51, 32, 30367, 29418, 31]",51,32,30367,12.0
"[3, 17, 51, 32, 30389, 27540, 29]",51,32,30389,24.0
"[3, 17, 51, 32, 30391, 6648, 7]",51,32,30391,12.0
"[3, 17, 51, 32, 30403, 10451, 11]",51,32,30403,12.0
"[3, 17, 51, 32, 30427, 18066, 19]",51,32,30427,12.0
"[3, 17, 51, 32, 30431, 29480, 31]",51,32,30431,12.0
"[3, 17, 51, 32, 30449, 16176, 17]",51,32,30449,96.0
"[3, 17, 51, 32, 30467, 10473, 11]",51,32,30467,12.0
"[3, 17, 51, 32, 30469, 12378, 13]",51,32,30469,24.0
"[3, 17, 51, 32, 30491, 18104, 19]",51,32,30491,12.0
"[3, 17, 51, 32, 30493, 20011, 21]",51,32,30493,24.0
"[3, 17, 51, 32, 30497, 953, 1]",51,32,30497,96.0
"[3, 17, 51, 32, 30509, 4767, 5]",51,32,30509,24.0
"[3, 17, 51, 32, 30517, 27656, 29]",51,32,30517,24.0
"[3, 17, 51, 32, 30529, 954, 1]",51,32,30529,96.0
"[3, 17, 51, 32, 30539, 2863, 3]",51,32,30539,12.0
"[3, 17, 51, 32, 30553, 8593, 9]",51,32,30553,48.0
"[3, 17, 51, 32, 30557, 20053, 21]",51,32,30557,24.0
"[3, 17, 51, 32, 30559, 29604, 31]",51,32,30559,12.0
"[3, 17, 51, 32, 30577, 16244, 17]",51,32,30577,96.0
"[3, 17, 51, 32, 30593, 956, 1]",51,32,30593,96.0
"[3, 17, 51, 32, 30631, 22016, 23]",51,32,30631,12.0
"[3, 17, 51, 32, 30637, 4787, 5]",51,32,30637,24.0
"[3, 17, 51, 32, 30643, 25855, 27]",51,32,30643,12.0
"[3, 17, 51, 32, 30649, 8620, 9]",51,32,30649,48.0
"[3, 17, 51, 32, 30661, 12456, 13]",51,32,30661,24.0
"[3, 17, 51, 32, 30671, 14377, 15]",51,32,30671,12.0
"[3, 17, 51, 32, 30677, 27801, 29]",51,32,30677,24.0
"[3, 17, 51, 32, 30689, 959, 1]",51,32,30689,96.0
"[3, 17, 51, 32, 30697, 23982, 25]",51,32,30697,48.0
"[3, 17, 51, 32, 30703, 14392, 15]",51,32,30703,12.0
"[3, 17, 51, 32, 30707, 25909, 27]",51,32,30707,12.0
"[3, 17, 51, 32, 30713, 8638, 9]",51,32,30713,48.0
"[3, 17, 51, 32, 30727, 22085, 23]",51,32,30727,12.0
"[3, 17, 51, 32, 30757, 12495, 13]",51,32,30757,24.0
"[3, 17, 51, 32, 30763, 2884, 3]",51,32,30763,12.0
"[3, 17, 51, 32, 30773, 27888, 29]",51,32,30773,24.0
"[3, 17, 51, 32, 30781, 20200, 21]",51,32,30781,24.0
"[3, 17, 51, 32, 30803, 25990, 27]",51,32,30803,12.0
"[3, 17, 51, 32, 30809, 8665, 9]",51,32,30809,48.0
"[3, 17, 51, 32, 30817, 963, 1]",51,32,30817,96.0
"[3, 17, 51, 32, 30829, 4817, 5]",51,32,30829,24.0
"[3, 17, 51, 32, 30839, 6746, 7]",51,32,30839,12.0
"[3, 17, 51, 32, 30841, 8674, 9]",51,32,30841,48.0
"[3, 17, 51, 32, 30851, 10605, 11]",51,32,30851,12.0
"[3, 17, 51, 32, 30853, 12534, 13]",51,32,30853,24.0
"[3, 17, 51, 32, 30859, 2893, 3]",51,32,30859,12.0
"[3, 17, 51, 32, 30869, 27975, 29]",51,32,30869,24.0
"[3, 17, 51, 32, 30871, 6753, 7]",51,32,30871,12.0
"[3, 17, 51, 32, 30881, 965, 1]",51,32,30881,96.0
"[3, 17, 51, 32, 30893, 4827, 5]",51,32,30893,24.0
"[3, 17, 51, 32, 30911, 29945, 31]",51,32,30911,12.0
"[3, 17, 51, 32, 30931, 26098, 27]",51,32,30931,12.0
"[3, 17, 51, 32, 30937, 8701, 9]",51,32,30937,48.0
"[3, 17, 51, 32, 30941, 20305, 21]",51,32,30941,24.0
"[3, 17, 51, 32, 30949, 12573, 13]",51,32,30949,24.0
"[3, 17, 51, 32, 30971, 18389, 19]",51,32,30971,12.0
"[3, 17, 51, 32, 30977, 968, 1]",51,32,30977,96.0
"[3, 17, 51, 32, 30983, 22269, 23]",51,32,30983,12.0
"[3, 17, 51, 32, 31013, 12599, 13]",51,32,31013,24.0
"[3, 17, 51, 32, 31019, 2908, 3]",51,32,31019,12.0
"[3, 17, 51, 32, 31033, 8728, 9]",51,32,31033,48.0
"[3, 17, 51, 32, 31039, 30069, 31]",51,32,31039,12.0
"[3, 17, 51, 32, 31051, 2911, 3]",51,32,31051,12.0
"[3, 17, 51, 32, 31063, 6795, 7]",51,32,31063,12.0
"[3, 17, 51, 32, 31069, 20389, 21]",51,32,31069,24.0
"[3, 17, 51, 32, 31079, 22338, 23]",51,32,31079,12.0
"[3, 17, 51, 32, 31081, 24282, 25]",51,32,31081,48.0
"[3, 17, 51, 32, 31091, 26233, 27]",51,32,31091,12.0
"[3, 17, 51, 32, 31121, 16533, 17]",51,32,31121,96.0
"[3, 17, 51, 32, 31123, 26260, 27]",51,32,31123,12.0
"[3, 17, 51, 32, 31139, 10704, 11]",51,32,31139,12.0
"[3, 17, 51, 32, 31147, 2920, 3]",51,32,31147,12.0
"[3, 17, 51, 32, 31151, 14602, 15]",51,32,31151,12.0
"[3, 17, 51, 32, 31153, 16550, 17]",51,32,31153,96.0
"[3, 17, 51, 32, 31159, 6816, 7]",51,32,31159,12.0
"[3, 17, 51, 32, 31177, 24357, 25]",51,32,31177,48.0
"[3, 17, 51, 32, 31181, 4872, 5]",51,32,31181,24.0
"[3, 17, 51, 32, 31183, 14617, 15]",51,32,31183,12.0
"[3, 17, 51, 32, 31189, 28265, 29]",51,32,31189,24.0
"[3, 17, 51, 32, 31193, 8773, 9]",51,32,31193,48.0
"[3, 17, 51, 32, 31219, 26341, 27]",51,32,31219,12.0
"[3, 17, 51, 32, 31223, 6830, 7]",51,32,31223,12.0
"[3, 17, 51, 32, 31231, 30255, 31]",51,32,31231,12.0
"[3, 17, 51, 32, 31237, 12690, 13]",51,32,31237,24.0
"[3, 17, 51, 32, 31247, 14647, 15]",51,32,31247,12.0
"[3, 17, 51, 32, 31249, 16601, 17]",51,32,31249,96.0
"[3, 17, 51, 32, 31253, 28323, 29]",51,32,31253,24.0
"[3, 17, 51, 32, 31259, 18560, 19]",51,32,31259,12.0
"[3, 17, 51, 32, 31267, 10748, 11]",51,32,31267,12.0
"[3, 17, 51, 32, 31271, 22476, 23]",51,32,31271,12.0
"[3, 17, 51, 32, 31277, 4887, 5]",51,32,31277,24.0
"[3, 17, 51, 32, 31307, 2935, 3]",51,32,31307,12.0
"[3, 17, 51, 32, 31319, 6851, 7]",51,32,31319,12.0
"[3, 17, 51, 32, 31321, 8809, 9]",51,32,31321,48.0
"[3, 17, 51, 32, 31327, 30348, 31]",51,32,31327,12.0
"[3, 17, 51, 32, 31333, 12729, 13]",51,32,31333,24.0
"[3, 17, 51, 32, 31337, 24482, 25]",51,32,31337,48.0
"[3, 17, 51, 32, 31357, 20578, 21]",51,32,31357,24.0
"[3, 17, 51, 32, 31379, 26476, 27]",51,32,31379,12.0
"[3, 17, 51, 32, 31387, 18636, 19]",51,32,31387,12.0
"[3, 17, 51, 32, 31391, 30410, 31]",51,32,31391,12.0
"[3, 17, 51, 32, 31393, 981, 1]",51,32,31393,96.0
"[3, 17, 51, 32, 31397, 12755, 13]",51,32,31397,24.0
"[3, 17, 51, 32, 31469, 4917, 5]",51,32,31469,24.0
"[3, 17, 51, 32, 31477, 28526, 29]",51,32,31477,24.0
"[3, 17, 51, 32, 31481, 8854, 9]",51,32,31481,48.0
"[3, 17, 51, 32, 31489, 984, 1]",51,32,31489,96.0
"[3, 17, 51, 32, 31511, 6893, 7]",51,32,31511,12.0
"[3, 17, 51, 32, 31513, 8863, 9]",51,32,31513,48.0
"[3, 17, 51, 32, 31517, 20683, 21]",51,32,31517,24.0
"[3, 17, 51, 32, 31531, 2956, 3]",51,32,31531,12.0
"[3, 17, 51, 32, 31541, 28584, 29]",51,32,31541,24.0
"[3, 17, 51, 32, 31543, 6900, 7]",51,32,31543,12.0
"[3, 17, 51, 32, 31547, 18731, 19]",51,32,31547,12.0
"[3, 17, 51, 32, 31567, 14797, 15]",51,32,31567,12.0
"[3, 17, 51, 32, 31573, 28613, 29]",51,32,31573,24.0
"[3, 17, 51, 32, 31583, 30596, 31]",51,32,31583,12.0
"[3, 17, 51, 32, 31601, 16788, 17]",51,32,31601,96.0
"[3, 17, 51, 32, 31607, 6914, 7]",51,32,31607,12.0
"[3, 17, 51, 32, 31627, 2965, 3]",51,32,31627,12.0
"[3, 17, 51, 32, 31643, 18788, 19]",51,32,31643,12.0
"[3, 17, 51, 32, 31649, 989, 1]",51,32,31649,96.0
"[3, 17, 51, 32, 31657, 24732, 25]",51,32,31657,48.0
"[3, 17, 51, 32, 31663, 14842, 15]",51,32,31663,12.0
"[3, 17, 51, 32, 31667, 26719, 27]",51,32,31667,12.0
"[3, 17, 51, 32, 31687, 22775, 23]",51,32,31687,12.0
"[3, 17, 51, 32, 31699, 26746, 27]",51,32,31699,12.0
"[3, 17, 51, 32, 31721, 24782, 25]",51,32,31721,48.0
"[3, 17, 51, 32, 31723, 2974, 3]",51,32,31723,12.0
"[3, 17, 51, 32, 31727, 14872, 15]",51,32,31727,12.0
"[3, 17, 51, 32, 31729, 16856, 17]",51,32,31729,96.0
"[3, 17, 51, 32, 31741, 20830, 21]",51,32,31741,24.0
"[3, 17, 51, 32, 31751, 22821, 23]",51,32,31751,12.0
"[3, 17, 51, 32, 31769, 8935, 9]",51,32,31769,48.0
"[3, 17, 51, 32, 31771, 18864, 19]",51,32,31771,12.0
"[3, 17, 51, 32, 31793, 16890, 17]",51,32,31793,96.0
"[3, 17, 51, 32, 31799, 6956, 7]",51,32,31799,12.0
"[3, 17, 51, 32, 31817, 24857, 25]",51,32,31817,48.0
"[3, 17, 51, 32, 31847, 22890, 23]",51,32,31847,12.0
"[3, 17, 51, 32, 31849, 24882, 25]",51,32,31849,48.0
"[3, 17, 51, 32, 31859, 26881, 27]",51,32,31859,12.0
"[3, 17, 51, 32, 31873, 996, 1]",51,32,31873,96.0
"[3, 17, 51, 32, 31883, 2989, 3]",51,32,31883,12.0
"[3, 17, 51, 32, 31891, 26908, 27]",51,32,31891,12.0
"[3, 17, 51, 32, 31907, 10968, 11]",51,32,31907,12.0
"[3, 17, 51, 32, 31957, 28961, 29]",51,32,31957,24.0
"[3, 17, 51, 32, 31963, 18978, 19]",51,32,31963,12.0
"[3, 17, 51, 32, 31973, 12989, 13]",51,32,31973,24.0
"[3, 17, 51, 32, 31981, 4997, 5]",51,32,31981,24.0
"[3, 17, 51, 32, 31991, 6998, 7]",51,32,31991,12.0
"[3, 17, 51, 32, 32003, 11001, 11]",51,32,32003,12.0
"[3, 17, 51, 32, 32009, 25007, 25]",51,32,32009,48.0
"[3, 17, 51, 32, 32027, 19016, 19]",51,32,32027,12.0
"[3, 17, 51, 32, 32029, 21019, 21]",51,32,32029,24.0
"[3, 17, 51, 32, 32051, 27043, 27]",51,32,32051,12.0
"[3, 17, 51, 32, 32057, 9016, 9]",51,32,32057,48.0
"[3, 17, 51, 32, 32059, 19035, 19]",51,32,32059,12.0
"[3, 17, 51, 32, 32063, 31061, 31]",51,32,32063,12.0
"[3, 17, 51, 32, 32069, 13028, 13]",51,32,32069,24.0
"[3, 17, 51, 32, 32077, 5012, 5]",51,32,32077,24.0
"[3, 17, 51, 32, 32083, 27070, 27]",51,32,32083,12.0
"[3, 17, 51, 32, 32089, 9025, 9]",51,32,32089,48.0
"[3, 17, 51, 32, 32099, 11034, 11]",51,32,32099,12.0
"[3, 17, 51, 32, 32117, 29106, 29]",51,32,32117,24.0
"[3, 17, 51, 32, 32119, 7026, 7]",51,32,32119,12.0
"[3, 17, 51, 32, 32141, 5022, 5]",51,32,32141,24.0
"[3, 17, 51, 32, 32143, 15067, 15]",51,32,32143,12.0
"[3, 17, 51, 32, 32159, 31154, 31]",51,32,32159,12.0
"[3, 17, 51, 32, 32173, 5027, 5]",51,32,32173,24.0
"[3, 17, 51, 32, 32183, 7040, 7]",51,32,32183,12.0
"[3, 17, 51, 32, 32189, 21124, 21]",51,32,32189,24.0
"[3, 17, 51, 32, 32191, 31185, 31]",51,32,32191,12.0
"[3, 17, 51, 32, 32203, 3019, 3]",51,32,32203,12.0
"[3, 17, 51, 32, 32213, 29193, 29]",51,32,32213,24.0
"[3, 17, 51, 32, 32233, 25182, 25]",51,32,32233,48.0
"[3, 17, 51, 32, 32237, 5037, 5]",51,32,32237,24.0
"[3, 17, 51, 32, 32251, 19149, 19]",51,32,32251,12.0
"[3, 17, 51, 32, 32257, 1008, 1]",51,32,32257,96.0
"[3, 17, 51, 32, 32261, 13106, 13]",51,32,32261,24.0
"[3, 17, 51, 32, 32297, 25232, 25]",51,32,32297,48.0
"[3, 17, 51, 32, 32299, 3028, 3]",51,32,32299,12.0
"[3, 17, 51, 32, 32303, 15142, 15]",51,32,32303,12.0
"[3, 17, 51, 32, 32309, 29280, 29]",51,32,32309,24.0
"[3, 17, 51, 32, 32321, 1010, 1]",51,32,32321,96.0
"[3, 17, 51, 32, 32323, 11111, 11]",51,32,32323,12.0
"[3, 17, 51, 32, 32327, 23235, 23]",51,32,32327,12.0
"[3, 17, 51, 32, 32341, 29309, 29]",51,32,32341,24.0
"[3, 17, 51, 32, 32353, 1011, 1]",51,32,32353,96.0
"[3, 17, 51, 32, 32359, 23258, 23]",51,32,32359,12.0
"[3, 17, 51, 32, 32363, 3034, 3]",51,32,32363,12.0
"[3, 17, 51, 32, 32369, 17196, 17]",51,32,32369,96.0
"[3, 17, 51, 32, 32371, 27313, 27]",51,32,32371,12.0
"[3, 17, 51, 32, 32377, 9106, 9]",51,32,32377,48.0
"[3, 17, 51, 32, 32381, 21250, 21]",51,32,32381,24.0
"[3, 17, 51, 32, 32401, 17213, 17]",51,32,32401,96.0
"[3, 17, 51, 32, 32411, 19244, 19]",51,32,32411,12.0
"[3, 17, 51, 32, 32413, 21271, 21]",51,32,32413,24.0
"[3, 17, 51, 32, 32423, 23304, 23]",51,32,32423,12.0
"[3, 17, 51, 32, 32429, 5067, 5]",51,32,32429,24.0
"[3, 17, 51, 32, 32441, 9124, 9]",51,32,32441,48.0
"[3, 17, 51, 32, 32443, 19263, 19]",51,32,32443,12.0
"[3, 17, 51, 32, 32467, 27394, 27]",51,32,32467,12.0
"[3, 17, 51, 32, 32479, 31464, 31]",51,32,32479,12.0
"[3, 17, 51, 32, 32491, 3046, 3]",51,32,32491,12.0
"[3, 17, 51, 32, 32497, 17264, 17]",51,32,32497,96.0
"[3, 17, 51, 32, 32503, 7110, 7]",51,32,32503,12.0
"[3, 17, 51, 32, 32507, 19301, 19]",51,32,32507,12.0
"[3, 17, 51, 32, 32531, 27448, 27]",51,32,32531,12.0
"[3, 17, 51, 32, 32533, 29483, 29]",51,32,32533,24.0
"[3, 17, 51, 32, 32537, 9151, 9]",51,32,32537,48.0
"[3, 17, 51, 32, 32561, 17298, 17]",51,32,32561,96.0
"[3, 17, 51, 32, 32563, 27475, 27]",51,32,32563,12.0
"[3, 17, 51, 32, 32569, 9160, 9]",51,32,32569,48.0
"[3, 17, 51, 32, 32573, 21376, 21]",51,32,32573,24.0
"[3, 17, 51, 32, 32579, 11199, 11]",51,32,32579,12.0
"[3, 17, 51, 32, 32587, 3055, 3]",51,32,32587,12.0
"[3, 17, 51, 32, 32603, 19358, 19]",51,32,32603,12.0
"[3, 17, 51, 32, 32609, 1019, 1]",51,32,32609,96.0
"[3, 17, 51, 32, 32611, 11210, 11]",51,32,32611,12.0
"[3, 17, 51, 32, 32621, 5097, 5]",51,32,32621,24.0
"[3, 17, 51, 32, 32633, 9178, 9]",51,32,32633,48.0
"[3, 17, 51, 32, 32647, 23465, 23]",51,32,32647,12.0
"[3, 17, 51, 32, 32653, 5102, 5]",51,32,32653,24.0
"[3, 17, 51, 32, 32687, 15322, 15]",51,32,32687,12.0
"[3, 17, 51, 32, 32693, 29628, 29]",51,32,32693,24.0
"[3, 17, 51, 32, 32707, 11243, 11]",51,32,32707,12.0
"[3, 17, 51, 32, 32713, 25557, 25]",51,32,32713,48.0
"[3, 17, 51, 32, 32717, 5112, 5]",51,32,32717,24.0
"[3, 17, 51, 32, 32719, 15337, 15]",51,32,32719,12.0
"[3, 17, 51, 32, 32749, 5117, 5]",51,32,32749,24.0
"[3, 17, 51, 32, 32771, 11265, 11]",51,32,32771,12.0
"[3, 17, 51, 32, 32779, 3073, 3]",51,32,32779,12.0
"[3, 17, 51, 32, 32783, 15367, 15]",51,32,32783,12.0
"[3, 17, 51, 32, 32789, 29715, 29]",51,32,32789,24.0
"[3, 17, 51, 32, 32797, 21523, 21]",51,32,32797,24.0
"[3, 17, 51, 32, 32801, 1025, 1]",51,32,32801,96.0
"[3, 17, 51, 32, 32803, 11276, 11]",51,32,32803,12.0
"[3, 17, 51, 32, 32831, 31805, 31]",51,32,32831,12.0
"[3, 17, 51, 32, 32833, 1026, 1]",51,32,32833,96.0
"[3, 17, 51, 32, 32839, 23603, 23]",51,32,32839,12.0
"[3, 17, 51, 32, 32843, 3079, 3]",51,32,32843,12.0
"[3, 17, 51, 32, 32869, 13353, 13]",51,32,32869,24.0
"[3, 17, 51, 32, 32887, 7194, 7]",51,32,32887,12.0
"[3, 17, 51, 32, 32909, 5142, 5]",51,32,32909,24.0
"[3, 17, 51, 32, 32911, 15427, 15]",51,32,32911,12.0
"[3, 17, 51, 32, 32917, 29831, 29]",51,32,32917,24.0
"[3, 17, 51, 32, 32933, 13379, 13]",51,32,32933,24.0
"[3, 17, 51, 32, 32939, 3088, 3]",51,32,32939,12.0
"[3, 17, 51, 32, 32941, 5147, 5]",51,32,32941,24.0
"[3, 17, 51, 32, 32957, 21628, 21]",51,32,32957,24.0
"[3, 17, 51, 32, 32969, 25757, 25]",51,32,32969,48.0
"[3, 17, 51, 32, 32971, 3091, 3]",51,32,32971,12.0
"[3, 17, 51, 32, 32983, 7215, 7]",51,32,32983,12.0
"[3, 17, 51, 32, 32987, 19586, 19]",51,32,32987,12.0
"[3, 17, 51, 32, 32993, 1031, 1]",51,32,32993,96.0
"[3, 17, 51, 32, 32999, 23718, 23]",51,32,32999,12.0
"[3, 17, 51, 32, 33013, 29918, 29]",51,32,33013,24.0
"[3, 17, 51, 32, 33023, 31991, 31]",51,32,33023,12.0
"[3, 17, 51, 32, 33029, 13418, 13]",51,32,33029,24.0
"[3, 17, 51, 32, 33037, 5162, 5]",51,32,33037,24.0
"[3, 17, 51, 32, 33049, 9295, 9]",51,32,33049,48.0
"[3, 17, 51, 32, 33053, 21691, 21]",51,32,33053,24.0
"[3, 17, 51, 32, 33071, 15502, 15]",51,32,33071,12.0
"[3, 17, 51, 32, 33073, 17570, 17]",51,32,33073,96.0
"[3, 17, 51, 32, 33083, 19643, 19]",51,32,33083,12.0
"[3, 17, 51, 32, 33091, 11375, 11]",51,32,33091,12.0
"[3, 17, 51, 32, 33107, 27934, 27]",51,32,33107,12.0
"[3, 17, 51, 32, 33113, 9313, 9]",51,32,33113,48.0
"[3, 17, 51, 32, 33119, 32084, 31]",51,32,33119,12.0
